,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
3172,16303,14403,NW 20 ST@NW 3 AV,D20S##35,46,MI_FRG,6,7838     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7838,5,7,0,0,10,5,5,-80.20062,25.79528,1347,2,1,1,14,NW 20 ST NW 3 AV, 24 , 25 , 49 , 26 , (80), 2-NW 20 ST NW 3 AV , 13 , 0 , (43),-50 to -20,TRUE
3182,16304,14404,NW 20 ST@NW 3 AV,D20S##36,46,MI_FRG,32,7839     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7839,5,35,0,0,10,5,5,-80.19992,25.79531,1347,2,1,1,14,NW 20 ST NW 3 AV, 24 , 25 , 49 , 26 , (80), 2-NW 20 ST NW 3 AV , 13 , 0 , (17),-20 to 0,TRUE
2223,14242,12342,N MIAMI AV@NE 162 ST,NMAV1622,45,MI_NE,2,5460     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5460,5,2,0,0,10,5,5,-80.200071,25.923697,1250,2,1,0,15,N MIAMI AV NW 162 ST, 1 , 5 , 6 , 26 , (80), 2-N MIAMI AV NW 162 ST , 10 , 0 , (4),-20 to 0,TRUE
2226,14245,12345,N MIAMI AV@NW 162 ST,NMAV1623,45,MI_NE,1,5464     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5464,5,1,0,0,10,5,5,-80.200189,25.923683,1250,2,1,0,15,N MIAMI AV NW 162 ST, 1 , 5 , 6 , 26 , (80), 2-N MIAMI AV NW 162 ST , 10 , 0 , (5),-20 to 0,TRUE
3256,16270,14370,NW 20 ST@NW 1 CT,D20S##18,46,MI_FRG,27,7799     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7799,5,30,0,0,10,5,5,-80.19807,25.7955,1348,2,1,1,15,NW 2 AV NW 20 ST, 25 , 13 , 38 , 26 , (80), 2-NW 2 AV NW 20 ST , 13 , 0 , (11),-20 to 0,TRUE
2222,14241,12341,N MIAMI AV@NE 160 ST,NMAV1601,45,MI_NE,2,5459     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5459,5,2,0,0,10,5,5,-80.199966,25.921619,1251,2,1,0,16,N MIAMI AV NW 160 ST, 2 , 2 , 4 , 26 , (80), 2-N MIAMI AV NW 160 ST , 10 , 0 , (2),-20 to 0,TRUE
2227,14246,12346,N MIAMI AV@NW 160 ST,NMAV1603,45,MI_NE,3,5465     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5465,5,3,0,0,10,5,5,-80.200089,25.921848,1251,2,1,0,16,N MIAMI AV NW 160 ST, 2 , 2 , 4 , 26 , (80), 2-N MIAMI AV NW 160 ST , 10 , 0 , (1),-20 to 0,TRUE
3253,15474,13574,NW 2 AV@NW 22 ST,D2AV#222,46,MI_FRG,10,6954     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6954,5,11,0,0,10,5,5,-80.1989,25.79823,1349,2,1,1,16,NW 2 AV NW 22 ST, 7 , 17 , 24 , 26 , (80), 2-NW 2 AV NW 22 ST , 13 , 0 , (14),-20 to 0,TRUE
3254,15475,13575,NW 2 AV@NW 24 ST,D2AV#241,46,MI_FRG,7,6955     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6955,5,8,0,0,10,5,5,-80.19895,25.79931,1350,2,1,1,17,NW 2 AV NW 24 ST, 8 , 6 , 14 , 26 , (80), 2-NW 2 AV NW 24 ST , 13 , 0 , (7),-20 to 0,TRUE
2212,14239,12339,N MIAMI AV@NE 156 ST,NMAV1562,45,MI_NE,2,5457     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5457,5,2,0,0,10,5,5,-80.199825,25.91828,1253,2,1,0,18,N MIAMI AV NW 156 ST, 2 , 5 , 7 , 26 , (80), 2-N MIAMI AV NW 156 ST , 10 , 0 , (5),-20 to 0,TRUE
2215,14248,12348,N MIAMI AV@NW 156 ST,NMAV1563,45,MI_NE,2,5467     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5467,5,2,0,0,10,5,5,-80.199942,25.918257,1253,2,1,0,18,N MIAMI AV NW 156 ST, 2 , 5 , 7 , 26 , (80), 2-N MIAMI AV NW 156 ST , 10 , 0 , (5),-20 to 0,TRUE
2261,14238,12338,N MIAMI AV@NE 154 ST,NMAV1541,45,MI_NE,3,5456     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5456,5,3,0,0,10,5,5,-80.199719,25.915697,1254,2,1,0,19,N MIAMI AV NW 154 ST, 3 , 10 , 12 , 26 , (80), 2-N MIAMI AV NW 154 ST , 10 , 0 , (9),-20 to 0,TRUE
3225,15478,13578,NW 2 AV@NW 29 ST,D2AV#292,46,MI_FRG,42,6958     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6958,5,46,0,0,10,5,5,-80.19914,25.80462,1353,2,1,1,20,NW 2 AV NW 29 ST, 41 , 43 , 84 , 26 , (80), 2-NW 2 AV NW 29 ST , 13 , 0 , (42),-50 to -20,TRUE
2218,14251,12351,N MIAMI AV@NW 148 ST,NMAV1483,45,MI_NE,5,5470     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5470,5,5,0,0,10,5,5,-80.199659,25.911262,1256,2,1,0,21,N MIAMI AV NW 148 ST, 5 , 4 , 9 , 26 , (80), 2-N MIAMI AV NW 148 ST , 10 , 0 , (4),-20 to 0,TRUE
2259,14236,12336,N MIAMI AV@NE 148 ST,NMAV1482,45,MI_NE,1,5454     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5454,5,1,0,0,10,5,5,-80.199527,25.911258,1256,2,1,0,21,N MIAMI AV NW 148 ST, 5 , 4 , 9 , 26 , (80), 2-N MIAMI AV NW 148 ST , 10 , 0 , (8),-20 to 0,TRUE
3226,15479,13579,NW 2 AV@NW 32 ST,D2AV#322,46,MI_FRG,29,6959     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6959,5,32,0,0,10,5,5,-80.19919,25.80677,1354,2,1,1,21,NW 2 AV NW 32 ST, 19 , 24 , 43 , 26 , (80), 2-NW 2 AV NW 32 ST , 13 , 0 , (14),-20 to 0,TRUE
2266,14252,12352,N MIAMI AV@NW 146 ST,NMAV1464,45,MI_NE,5,5471     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5471,5,6,0,0,10,5,5,-80.199956,25.90872,1257,2,1,0,22,N MIAMI AV NW 146 ST, 6 , 2 , 8 , 26 , (80), 2-N MIAMI AV NW 146 ST , 10 , 0 , (3),-20 to 0,TRUE
3227,15480,13580,NW 2 AV@NW 34 ST,D2AV#342,46,MI_FRG,14,6960     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6960,5,15,0,0,10,5,5,-80.19926,25.80838,1355,2,1,1,22,NW 2 AV NW 34 ST, 13 , 13 , 26 , 26 , (80), 2-NW 2 AV NW 34 ST , 13 , 0 , (12),-20 to 0,TRUE
433,10018,8118,NW 2 AV@NW 35 ST,NW2A36SN,46,MI_FRG,48,25       M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,25,5,53,0,0,10,5,5,-80.199301,25.809888,1356,2,1,1,23,NW 2 AV NW 35 ST, 39 , 33 , 72 , 26 , (80), 2-NW 2 AV NW 35 ST , 13 , 0 , (24),-50 to -20,TRUE
2275,14253,12353,N MIAMI AV@NW 143 ST,NMAV1434,45,MI_NE,1,5472     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5472,5,1,0,0,10,5,5,-80.199414,25.905908,1258,2,1,0,23,N MIAMI AV NW 143 ST, 1 , 3 , 4 , 26 , (80), 2-N MIAMI AV NW 143 ST , 10 , 0 , (3),-20 to 0,TRUE
2276,14254,12354,N MIAMI AV@NW 139 ST,NMAV1394,45,MI_NE,1,5473     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5473,5,1,0,0,10,5,5,-80.199275,25.902221,1259,2,1,0,24,N MIAMI AV NW 139 ST, 1 , 3 , 4 , 26 , (80), 2-N MIAMI AV NW 139 ST , 10 , 0 , (3),-20 to 0,TRUE
2278,14255,12355,N MIAMI AV@NW 135 ST,NMAV1354,45,MI_NE,7,5474     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5474,5,8,0,0,10,5,5,-80.19911,25.898169,1260,2,1,0,25,N MIAMI AV NW 135 ST, 6 , 6 , 11 , 26 , (80), 2-N MIAMI AV NW 135 ST , 10 , 0 , (4),-20 to 0,TRUE
2281,14434,12534,NW 135 ST@N MIAMI AV,D135NMV5,45,MI_NE,6,5656     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5656,5,7,0,0,10,5,5,-80.199309,25.898706,1260,2,1,0,25,N MIAMI AV NW 135 ST, 6 , 6 , 11 , 26 , (80), 2-N MIAMI AV NW 135 ST , 10 , 0 , (5),-20 to 0,TRUE
2279,14256,12356,N MIAMI AV@NW 131 ST,NMAV1313,45,MI_NE,2,5475     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5475,5,2,0,0,10,5,5,-80.19897,25.895316,1261,2,1,0,26,N MIAMI AV NW 131 ST, 2 , 1 , 4 , 26 , (80), 2-N MIAMI AV NW 131 ST , 10 , 0 , (2),-20 to 0,TRUE
2542,15483,13583,NW 2 AV@NW 41 ST,D2AV#412,46,MI_FRG,14,6963     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6963,5,16,0,0,10,5,5,-80.19948,25.81424,1359,2,1,1,26,NW 2 AV NW 41 ST, 12 , 19 , 31 , 26 , (80), 2-NW 2 AV NW 41 ST , 10 , 0 , (17),-20 to 0,TRUE
2280,14257,12357,N MIAMI AV@NW 128 ST,NMAV1283,45,MI_NE,3,5476     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5476,5,3,0,0,10,5,5,-80.198834,25.892609,1262,2,1,0,27,N MIAMI AV NW 128 ST, 2 , 4 , 6 , 26 , (80), 2-N MIAMI AV NW 128 ST , 10 , 0 , (3),-20 to 0,TRUE
2543,15484,13584,NW 2 AV@NW 44 ST,D2AV#441,46,MI_FRG,5,6964     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6964,5,6,0,0,10,5,5,-80.19953,25.81579,1360,2,1,1,27,NW 2 AV NW 44 ST, 6 , 7 , 13 , 26 , (80), 2-NW 2 AV NW 44 ST , 10 , 0 , (8),-20 to 0,TRUE
2544,15485,13585,NW 2 AV@NW 46 ST,D2AV#461,46,MI_FRG,17,6965     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6965,5,19,0,0,10,5,5,-80.19961,25.81763,1361,2,1,1,28,NW 2 AV NW 46 ST, 16 , 19 , 35 , 26 , (80), 2-NW 2 AV NW 46 ST , 10 , 0 , (18),-20 to 0,TRUE
