,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
4944,9877,7977,CIVIC CENTER METRORAIL STATION,5665,46,MI_FRG,0,5665     B,NA,NA,NA,0,0,B,NA,1,0,0,0,0,NA,0,0,0,0,10,5,5,-80.21518,25.7898,523,12,1,0,47,NW 12 AV NW 16 ST, 140 , 104 , 245 , 26 , (80), 12-NW 12 AV NW 16 ST , 13 , 0 , (245),-500 to -100,TRUE
2825,15697,13797,NW 12 AV@NW 54 ST,D12V#542,52,MI_NW,33,7181     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7181,5,36,0,0,10,5,5,-80.21615,25.8252,606,12,1,1,48,NW 12 AV NW 54 ST, 19 , 19 , 37 , 26 , (80), 12-NW 12 AV NW 54 ST , 12 , 0 , (4),-20 to 0,TRUE
3077,15650,13750,NW 12 AV@NW 14 ST,D12V14S4,46,MI_FRG,29,7134     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7134,5,32,0,0,10,5,5,-80.21512,25.7869,524,12,1,0,48,NW 12 AV NW 14 ST, 30 , 27 , 57 , 26 , (80), 12-NW 12 AV NW 14 ST , 13 , 0 , (28),-50 to -20,TRUE
3097,16345,14445,NW 14 ST@NW 12 AV,D14S12V8,46,MI_FRG,0,7907     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7907,5,0,0,0,10,5,5,-80.21562,25.78766,524,12,1,0,48,NW 12 AV NW 14 ST, 30 , 27 , 57 , 26 , (80), 12-NW 12 AV NW 14 ST , 13 , 0 , (57),-100 to -50,TRUE
4936,9851,7951,STATE ATTORNEY'S OFFICE,5630,46,MI_FRG,0,5630     B,NA,NA,NA,0,0,B,NA,1,0,0,0,0,NA,0,0,0,0,10,5,5,-80.21518,25.78721,524,12,1,0,48,NW 12 AV NW 14 ST, 30 , 27 , 57 , 26 , (80), 12-NW 12 AV NW 14 ST , 13 , 0 , (57),-100 to -50,TRUE
2826,15698,13798,NW 12 AV@NW 57 ST,D12V#571,52,MI_NW,7,7182     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7182,5,8,0,0,10,5,5,-80.21626,25.82747,607,12,1,1,49,NW 12 AV NW 57 ST, 5 , 12 , 17 , 26 , (80), 12-NW 12 AV NW 57 ST , 12 , 0 , (10),-20 to 0,TRUE
3078,15651,13751,NW 12 AV@NW 12 ST,D12V#124,46,MI_FRG,1,7135     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7135,5,1,0,0,10,5,5,-80.21495,25.78521,525,12,1,0,49,NW 12 AV NW 12 ST, 0 , 0 , 1 , 26 , (80), 12-NW 12 AV NW 12 ST , 13 , 0 , 0 ,0 to 20,TRUE
2820,15699,13799,NW 12 AV@NW 58 ST,D12V#582,52,MI_NW,23,7183     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7183,5,25,0,0,10,5,5,-80.21633,25.82869,608,12,1,1,50,NW 12 AV NW 58 ST, 17 , 27 , 44 , 26 , (80), 12-NW 12 AV NW 58 ST , 12 , 0 , (21),-50 to -20,TRUE
2821,15700,13800,NW 12 AV@NW 60 ST,D12V#602,52,MI_NW,13,7184     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7184,5,14,0,0,10,5,5,-80.21644,25.8307,609,12,1,1,51,NW 12 AV NW 60 ST, 9 , 25 , 34 , 26 , (80), 12-NW 12 AV NW 60 ST , 12 , 0 , (21),-50 to -20,TRUE
3655,15653,13753,NW 12 AV@NW 5 ST,D12V##54,46,MI_FRG,36,7137     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7137,5,40,0,0,10,5,5,-80.21488,25.77817,527,12,1,0,51,NW 12 AV NW 5 ST, 37 , 28 , 65 , 26 , (80), 12-NW 12 AV NW 5 ST , 27 , 0 , (29),-50 to -20,TRUE
2799,16135,14235,NW 62 ST@NW 12 AV,D62S12V8,52,MI_NW,103,7651     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7651,5,114,0,0,10,5,5,-80.21711,25.83208,610,12,1,1,52,NW 62 ST NW 12 AV, 29 , 30 , 58 , 26 , (80), 12-NW 62 ST NW 12 AV , 12 , 0 , 45 ,20 to 50,TRUE
3615,15678,13778,NW 12 AV@NW 2 ST,D12V##22,46,MI_FRG,74,7162     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7162,5,82,0,0,10,5,5,-80.2146,25.77568,528,12,1,0,52,NW 12 AV NW 3 ST, 26 , 22 , 48 , 26 , (80), 12-NW 12 AV NW 3 ST , 27 , 0 , 26 ,20 to 50,TRUE
3656,15654,13754,NW 12 AV@NW 3 ST,D12V##34,46,MI_FRG,25,7138     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7138,5,28,0,0,10,5,5,-80.21484,25.77611,528,12,1,0,52,NW 12 AV NW 3 ST, 26 , 22 , 48 , 26 , (80), 12-NW 12 AV NW 3 ST , 27 , 0 , (23),-50 to -20,TRUE
2800,16136,14236,NW 62 ST@NW 13 AV,D62S#138,52,MI_NW,94,7652     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7652,5,104,0,0,10,5,5,-80.21918,25.83202,611,12,1,1,53,NW 62 ST NW 13 AV, 25 , 21 , 46 , 26 , (80), 12-NW 62 ST NW 13 AV , 12 , 0 , 48 ,20 to 50,TRUE
3657,15655,13755,NW 12 AV@NW 1 ST,D12V##14,46,MI_FRG,25,7139     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7139,5,28,0,0,10,5,5,-80.21478,25.7741,529,12,1,0,53,NW 12 AV NW 1 ST, 28 , 108 , 136 , 26 , (80), 12-NW 12 AV NW 1 ST , 27 , 0 , (111),-500 to -100,TRUE
3641,15656,13756,SW 12 AV@W FLAGLER ST,C12VFLS4,46,MI_FRG,91,7140     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7140,5,101,0,0,10,5,5,-80.21474,25.77309,530,12,1,0,54,SW 12 AV W FLAGLER ST, 100 , 55 , 154 , 26 , (80), 12-SW 12 AV W FLAGLER ST , 27 , 0 , (63),-100 to -50,TRUE
623,10088,8188,SW 12 AV@SW 2 ST,S1ST12AS,46,MI_FRG,36,118      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,118,5,40,0,0,10,5,5,-80.214706,25.771715,531,12,1,0,55,SW 12 AV SW 2 ST, 34 , 17 , 51 , 26 , (80), 12-SW 12 AV SW 2 ST , 27 , 0 , (15),-20 to 0,TRUE
3642,15657,13757,SW 12 AV@SW 4 ST,C12V##44,46,MI_FRG,33,7141     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7141,5,37,0,0,10,5,5,-80.21466,25.76941,532,12,1,0,56,SW 12 AV SW 4 ST, 34 , 45 , 79 , 26 , (80), 12-SW 12 AV SW 4 ST , 27 , 0 , (46),-50 to -20,TRUE
3643,15658,13758,SW 12 AV@SW 7 ST,C12V#7S3,46,MI_FRG,18,7142     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7142,5,20,0,0,10,5,5,-80.21458,25.76702,533,12,1,0,57,SW 12 AV SW 7 ST, 20 , 85 , 105 , 26 , (80), 12-SW 12 AV SW 7 ST , 27 , 0 , (87),-100 to -50,TRUE
3644,15659,13759,SW 12 AV@SW 8 ST,C12V##83,46,MI_FRG,33,7143     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7143,5,36,0,0,10,5,5,-80.21455,25.76604,534,12,1,0,58,SW 12 AV SW 8 ST, 39 , 85 , 124 , 26 , (80), 12-SW 12 AV SW 8 ST , 27 , 0 , (91),-100 to -50,TRUE
1774,15660,13760,SW 12 AV@SW 10 ST,C12V#103,46,MI_FRG,5,7144     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7144,5,5,0,0,10,5,5,-80.214497,25.764575,535,12,1,0,59,SW 12 AV SW 10 ST, 6 , 7 , 13 , 26 , (80), 12-SW 12 AV SW 10 ST , 17 , 0 , (8),-20 to 0,TRUE
374,10094,8194,NW 71 ST@NW 12 AV,71ST12AN,52,MI_NW,33,127      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,127,5,36,0,0,10,5,5,-80.217376,25.839469,618,12,1,1,60,NW 71 ST NW 12 AV, 14 , 12 , 26 , 26 , (80), 12-NW 71 ST NW 12 AV , 12 , 0 , 7 ,0 to 20,TRUE
380,10084,8184,NW 12 AV@NW 70 ST,71ST12AS,52,MI_NW,41,114      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,114,5,45,0,0,10,5,5,-80.216995,25.839403,618,12,1,1,60,NW 71 ST NW 12 AV, 14 , 12 , 26 , 26 , (80), 12-NW 71 ST NW 12 AV , 12 , 0 , 15 ,0 to 20,TRUE
1776,15662,13762,SW 12 AV@SW 13 ST,C12V#133,46,MI_FRG,5,7146     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7146,5,5,0,0,10,5,5,-80.21437,25.761012,537,12,1,0,61,SW 12 AV SW 13 ST, 6 , 10 , 16 , 26 , (80), 12-SW 12 AV SW 13 ST , 17 , 0 , (11),-20 to 0,TRUE
1777,15663,13763,SW 12 AV@SW 15 ST,C12V#154,46,MI_FRG,2,7147     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7147,5,2,0,0,10,5,5,-80.21435,25.759028,538,12,1,0,62,SW 12 AV SW 15 ST, 3 , 5 , 7 , 26 , (80), 12-SW 12 AV SW 15 ST , 17 , 0 , (5),-20 to 0,TRUE
2751,13983,12083,NW 71 ST@NW 15 AV,D71S#157,52,MI_NW,41,5176     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5176,5,45,0,0,10,5,5,-80.22308,25.83927,620,12,1,1,62,NW 71 ST NW 15 AV, 19 , 23 , 41 , 26 , (80), 12-NW 71 ST NW 15 AV , 12 , 0 , (0),-20 to 0,TRUE
1786,15664,13764,SW 12 AV@SW 17 ST,C12V#174,50,MI_OTM,0,7148     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7148,5,0,0,0,10,5,5,-80.214322,25.756658,539,12,1,0,63,SW 12 AV SW 17 ST, -   , -   , -   , 26 , (80), 12-SW 12 AV SW 17 ST , 17 , 0 , -   ,-20 to 0,TRUE
1787,15665,13765,SW 12 AV@SW 18 ST,C12V#184,50,MI_OTM,1,7149     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7149,5,1,0,0,10,5,5,-80.214321,25.755188,540,12,1,0,64,SW 12 AV SW 18 ST, 1 , 12 , 12 , 26 , (80), 12-SW 12 AV SW 18 ST , 17 , 0 , (11),-20 to 0,TRUE
1788,15666,13766,SW 12 AV@SW 20  ST,C12V#203,50,MI_OTM,1,7150     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7150,5,1,0,0,10,5,5,-80.214313,25.753598,541,12,1,0,65,SW 12 AV SW 20 ST, 0 , 7 , 7 , 26 , (80), 12-SW 12 AV SW 20 ST , 17 , 0 , (6),-20 to 0,TRUE
1844,15706,13806,SW 13 AV@SW 22 ST,C13V#221,50,MI_OTM,2,7190     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7190,5,2,0,0,10,5,5,-80.216084,25.750719,542,12,1,0,66,SW 13 AV SW 22 ST, 2 , 21 , 23 , 26 , (80), 12-SW 13 AV SW 22 ST , 17 , 0 , (21),-50 to -20,TRUE
2741,13988,12088,NW 71 ST@NW 21 AV,D71S#218,52,MI_NW,4,5181     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5181,5,4,0,0,10,5,5,-80.23161,25.83941,624,12,1,1,67,NW 71 ST NW 21 AV, 4 , 7 , 10 , 26 , (80), 12-NW 71 ST NW 21 AV , 12 , 0 , (6),-20 to 0,TRUE
3460,15517,13617,SW 3 AV@SW 30 RD,C3AV#302,46,MI_FRG,1,6997     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6997,5,1,0,0,10,5,5,-80.21138,25.75302,545,12,1,0,69,SW 3 AV SW 30 RD, 1 , 3 , 4 , 26 , (80), 12-SW 3 AV SW 30 RD , 17 , 0 , (3),-20 to 0,TRUE
3461,15518,13618,SW 3 AV@SW 28 RD,C3AV#282,46,MI_FRG,0,6998     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6998,5,0,0,0,10,5,5,-80.20965,25.75423,546,12,1,0,70,SW 3 AV SW 28 RD, 0 , 2 , 2 , 26 , (80), 12-SW 3 AV SW 28 RD , 17 , 0 , (2),-20 to 0,TRUE
3469,16641,14741,SW 26 RD@SW 1 AV,C26R##14,46,MI_FRG,0,8219     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8219,5,0,0,0,10,5,5,-80.20595,25.75261,548,12,1,0,72,SW 26 RD SW 1 AV, 0 , 3 , 3 , 26 , (80), 12-SW 26 RD SW 1 AV , 17 , 0 , (3),-20 to 0,TRUE
2474,13963,12063,NW 79 ST@NW 24 AV,D79S#248,52,MI_NW,5,5152     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5152,5,6,0,0,10,5,5,-80.23789,25.84629,630,12,1,1,73,NW 79 ST NW 24 AV, 1 , 5 , 6 , 26 , (80), 12-NW 79 ST NW 24 AV , 11 , 0 , (1),-20 to 0,TRUE
1808,15393,13493,S MIAMI AV@BRICKELL AV,SMIABRI4,50,MI_OTM,0,6868     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6868,5,0,0,0,10,5,5,-80.20737,25.749563,550,12,1,0,74,S MIAMI AV BRICKELL AV, 0 , 1 , 1 , 26 , (80), 12-S MIAMI AV BRICKELL AV , 9 , 0 , (1),-20 to 0,TRUE
1820,15425,13525,S MIAMI AV@BRICKELL AV,SMIABRI1,50,MI_OTM,0,6900     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6900,5,0,0,0,10,5,5,-80.207194,25.749503,550,12,1,0,74,S MIAMI AV BRICKELL AV, 0 , 1 , 1 , 26 , (80), 12-S MIAMI AV BRICKELL AV , 9 , 0 , (1),-20 to 0,TRUE
1809,15394,13494,S MIAMI AV@SW 32 RD,SMIA32R3,50,MI_OTM,5,6869     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6869,5,5,0,0,10,5,5,-80.209814,25.747889,551,12,1,0,75,S MIAMI AV SW 32 RD, 3 , 3 , 5 , 26 , (80), 12-S MIAMI AV SW 32 RD , 9 , 0 , (0),-20 to 0,TRUE
1810,15395,13495,S MIAMI AV@# 3251,SMIA#323,50,MI_OTM,2,6870     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6870,5,2,0,0,10,5,5,-80.211062,25.747043,552,12,1,0,76,S MIAMI AV # 3251, 1 , 3 , 5 , 26 , (80), 12-S MIAMI AV # 3251 , 9 , 0 , (3),-20 to 0,TRUE
1811,15396,13496,S MIAMI AV@SAMANA DR,SMIASAM4,50,MI_OTM,0,6871     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6871,5,0,0,0,10,5,5,-80.212902,25.745766,553,12,1,0,77,S MIAMI AV SAMANA DR, 0 , 10 , 10 , 26 , (80), 12-S MIAMI AV SAMANA DR , 9 , 0 , (10),-20 to 0,TRUE
2455,13967,12067,NW 79 ST@NW 31 AV,D79S#317,52,MI_NW,11,5156     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5156,5,12,0,0,10,5,5,-80.24748,25.84597,633,12,1,1,77,NW 79 ST NW 30 AV, 1 , 11 , 12 , 26 , (80), 12-NW 79 ST NW 30 AV , 11 , 0 , (1),-20 to 0,TRUE
2452,13968,12068,NW 79 ST@NW 33 AV,D79S33V7,52,MI_NW,6,5157     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5157,5,7,0,0,10,5,5,-80.25173,25.84584,635,12,1,1,78,NORTHSIDE STA 3150 NW 79 ST, -   , 9 , 9 , 26 , (80), 12-NORTHSIDE STA 3150 NW 79 ST , 11 , 0 , (3),-20 to 0,TRUE
2707,13936,12036,NW 79 ST@NW 33 AV,D79S#336,52,MI_NW,43,5125     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5125,5,47,0,0,10,5,5,-80.25144,25.8456,635,12,1,1,78,NORTHSIDE STA 3150 NW 79 ST, -   , 9 , 9 , 26 , (80), 12-NORTHSIDE STA 3150 NW 79 ST , 11 , 0 , 34 ,20 to 50,TRUE
1814,15399,13499,S BAYSHORE DR@HALISSEE ST,SBSDHAL4,50,MI_OTM,0,6874     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6874,5,0,0,0,10,5,5,-80.219091,25.741499,555,12,1,0,79,HALISSE ST SOUTH BAYSHORE DR, 1 , 18 , 19 , 26 , (80), 12-HALISSE ST SOUTH BAYSHORE DR , 9 , 0 , (19),-20 to 0,TRUE
1821,15703,13803,HALISSE ST@SOUTH BAYSHORE DR,HALSSOU4,50,MI_OTM,2,7187     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7187,5,2,0,0,10,5,5,-80.218164,25.741524,555,12,1,0,79,HALISSE ST SOUTH BAYSHORE DR, 1 , 18 , 19 , 26 , (80), 12-HALISSE ST SOUTH BAYSHORE DR , 9 , 0 , (17),-20 to 0,TRUE
1822,15704,13804,E GLENCOE@SOUTH BAYSHORE DR,EGLCSOU4,50,MI_OTM,31,7188     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7188,5,34,0,0,10,5,5,-80.217057,25.740235,556,12,1,0,80,E GLENCOE SOUTH BAYSHORE DR, 26 , 80 , 107 , 26 , (80), 12-E GLENCOE SOUTH BAYSHORE DR , 9 , 0 , (76),-100 to -50,TRUE
106,10090,8190,AT MERCY HOSPITAL@MERCY WY EXIT,MRCYHOST,50,MI_OTM,109,120      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,120,5,120,0,0,10,5,5,-80.214417,25.740515,558,12,1,0,81,AT MERCY HOSPITAL MERCY WY E, -   , -   , -   , 26 , (80), 12-AT MERCY HOSPITAL MERCY WY E , 9 , 0 , 109 ,100 to 500,TRUE
103,10089,8189,VIZCAYA STA@3201 SW 1 AV,VIZ-CAYT,50,MI_OTM,420,119      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,119,5,464,0,0,10,5,5,-80.212119,25.749703,1051,17,1,1,1,VIZCAYA STA 3201 SW 1 AV, 285 , 0 , 286 , 26 , (80), 17-VIZCAYA STA 3201 SW 1 AV , 17 , 0 , 134 ,100 to 500,TRUE
104,10137,8237,VIZCAYA METRORAIL STATION,VIZ-CAYE,50,MI_OTM,26,182      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,182,5,29,0,0,10,5,5,-80.211765,25.749697,1051,17,1,1,1,VIZCAYA STA 3201 SW 1 AV, 285 , 0 , 286 , 26 , (80), 17-VIZCAYA STA 3201 SW 1 AV , 17 , 0 , (260),-500 to -100,TRUE
105,10138,8238,VIZCAYA METRORAIL STATION,VIZ-CAYW,50,MI_OTM,247,187      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,187,5,273,0,0,10,5,5,-80.211765,25.749697,1051,17,1,1,1,VIZCAYA STA 3201 SW 1 AV, 285 , 0 , 286 , 26 , (80), 17-VIZCAYA STA 3201 SW 1 AV , 17 , 0 , (39),-50 to -20,TRUE
1964,14732,12832,NW 7 AV@NW 186 DR,D7AV1862,48,MI_GRD,14,6124     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6124,5,15,0,0,10,5,5,-80.213292,25.945465,898,17,1,0,2,NW 7 AV NW 186 DR, 2 , -   , 2 , 26 , (80), 17-NW 7 AV NW 186 DR , 10 , 0 , 12 ,0 to 20,TRUE
1800,15516,13616,SW 3 AV@SW 31 RD,C3AV#314,46,MI_FRG,11,6996     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6996,5,12,0,0,10,5,5,-80.212832,25.752356,1052,17,1,1,2,SW 3 AV SW 31 RD, 4 , 1 , 5 , 26 , (80), 17-SW 3 AV SW 31 RD , 17 , 0 , 6 ,0 to 20,TRUE
1981,14734,12834,NW 7 AV@NW 191 ST,D7AV1912,48,MI_GRD,14,6126     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6126,5,15,0,0,10,5,5,-80.213488,25.949843,900,17,1,0,4,NW 7 AV NW 191 ST, 4 , 3 , 7 , 26 , (80), 17-NW 7 AV NW 191 ST , 10 , 0 , 7 ,0 to 20,TRUE
1794,16662,14762,SW 22 ST@SW 14 AV,C22S#148,50,MI_OTM,16,8241     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8241,5,18,0,0,10,5,5,-80.218628,25.751057,1054,17,1,1,4,SW 22 ST SW 14 AV, 9 , 6 , 15 , 26 , (80), 17-SW 22 ST SW 14 AV , 17 , 0 , 1 ,0 to 20,TRUE
1982,14735,12835,NW 7 AV@NW 194 ST,D7AV1941,48,MI_GRD,7,6127     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6127,5,8,0,0,10,5,5,-80.213584,25.951864,901,17,1,0,5,NW 7 AV NW 194 ST, 0 , 1 , 2 , 26 , (80), 17-NW 7 AV NW 194 ST , 10 , 0 , 5 ,0 to 20,TRUE
1795,16663,14763,SW 22 ST@SW 16 AV,C22S#168,50,MI_OTM,14,8242     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8242,5,15,0,0,10,5,5,-80.220198,25.751031,1055,17,1,1,5,SW 22 ST SW 16 AV, 9 , 3 , 12 , 26 , (80), 17-SW 22 ST SW 16 AV , 17 , 0 , 2 ,0 to 20,TRUE
1983,14736,12836,NW 7 AV@NW 195 TE,D7AV1951,48,MI_GRD,46,6128     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6128,5,51,0,0,10,5,5,-80.213641,25.953293,902,17,1,0,6,NW 7 AV NW 195 TE, 8 , 2 , 10 , 26 , (80), 17-NW 7 AV NW 195 TE , 10 , 0 , 36 ,20 to 50,TRUE
1763,16664,14764,SW 22 ST@SW 17 AV,C22S#178,50,MI_OTM,65,8243     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8243,5,72,0,0,10,5,5,-80.222221,25.750986,1056,17,1,1,6,SW 17 AV SW 22 ST, 45 , 7 , 52 , 26 , (80), 17-SW 17 AV SW 22 ST , 17 , 0 , 13 ,0 to 20,TRUE
1789,15761,13861,SW 17 AV@SW 22 ST,C17V#222,50,MI_OTM,52,7246     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7246,5,58,0,0,10,5,5,-80.221843,25.751261,1056,17,1,1,6,SW 17 AV SW 22 ST, 45 , 7 , 52 , 26 , (80), 17-SW 17 AV SW 22 ST , 17 , 0 , 0 ,0 to 20,TRUE
1850,16656,14756,SW 22 ST@SW 17 AV,C22S#176,50,MI_OTM,20,8235     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8235,5,22,0,0,10,5,5,-80.221663,25.750775,1056,17,1,1,6,SW 17 AV SW 22 ST, 45 , 7 , 52 , 26 , (80), 17-SW 17 AV SW 22 ST , 17 , 0 , (32),-50 to -20,TRUE
1984,14737,12837,NW 7 AV@NW 197 ST,D7AV1972,48,MI_GRD,36,6129     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6129,5,40,0,0,10,5,5,-80.21374,25.955505,903,17,1,0,7,NW 7 AV NW 197 ST, 6 , 3 , 9 , 26 , (80), 17-NW 7 AV NW 197 ST , 10 , 0 , 27 ,20 to 50,TRUE
1988,14743,12843,NW 7 AV@NW 197 TE,D7AV1973,48,MI_GRD,2,6135     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6135,5,2,0,0,10,5,5,-80.213834,25.955484,903,17,1,0,7,NW 7 AV NW 197 ST, 6 , 3 , 9 , 26 , (80), 17-NW 7 AV NW 197 ST , 10 , 0 , (7),-20 to 0,TRUE
1758,15760,13860,SW 17 AV@SW 21 ST,C17V#213,50,MI_OTM,4,7245     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7245,5,4,0,0,10,5,5,-80.222154,25.752557,1057,17,1,1,7,SW 17 AV SW 20 ST, 3 , 1 , 4 , 26 , (80), 17-SW 17 AV SW 20 ST , 17 , 0 , 0 ,0 to 20,TRUE
1790,15762,13862,SW 17 AV@SW 20 ST,C17V#201,50,MI_OTM,4,7247     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7247,5,4,0,0,10,5,5,-80.221936,25.752837,1057,17,1,1,7,SW 17 AV SW 20 ST, 3 , 1 , 4 , 26 , (80), 17-SW 17 AV SW 20 ST , 17 , 0 , 0 ,0 to 20,TRUE
1978,15140,13240,NW 199 ST@NW 7 AV,D199##78,48,MI_GRD,5,6571     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6571,5,5,0,0,10,5,5,-80.214924,25.956808,904,17,1,0,8,NW 199 ST NW 7 AV, 2 , 1 , 3 , 26 , (80), 17-NW 199 ST NW 7 AV , 10 , 0 , 2 ,0 to 20,TRUE
1996,15135,13235,NW 199 ST@NW 7 AV,D199##75,48,MI_GRD,1,6565     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6565,5,1,0,0,10,5,5,-80.214933,25.956611,904,17,1,0,8,NW 199 ST NW 7 AV, 2 , 1 , 3 , 26 , (80), 17-NW 199 ST NW 7 AV , 10 , 0 , (2),-20 to 0,TRUE
1791,15763,13863,SW 17 AV@SW 19 ST,C17V19S2,50,MI_OTM,17,7248     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7248,5,19,0,0,10,5,5,-80.222046,25.754755,1058,17,1,1,8,SW 17 AV SW 19 ST, 17 , 8 , 26 , 26 , (80), 17-SW 17 AV SW 19 ST , 17 , 0 , (9),-20 to 0,TRUE
1979,15141,13241,NW 199 ST@NW 9 AV,D199##98,48,MI_GRD,7,6572     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6572,5,8,0,0,10,5,5,-80.21791,25.95669,905,17,1,0,9,NW 199 ST NW 9 AV, 6 , 3 , 9 , 26 , (80), 17-NW 199 ST NW 9 AV , 10 , 0 , (2),-20 to 0,TRUE
1995,15134,13234,NW 199 ST@NW 9 AV,D199##95,48,MI_GRD,4,6564     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6564,5,4,0,0,10,5,5,-80.217997,25.956471,905,17,1,0,9,NW 199 ST NW 9 AV, 6 , 3 , 9 , 26 , (80), 17-NW 199 ST NW 9 AV , 10 , 0 , (5),-20 to 0,TRUE
1792,15764,13864,SW 17 AV@SW 17 TE,C17V#171,50,MI_OTM,5,7249     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7249,5,6,0,0,10,5,5,-80.222101,25.756257,1059,17,1,1,9,SW 17 AV SW 17 TE, 5 , 7 , 12 , 26 , (80), 17-SW 17 AV SW 17 TE , 17 , 0 , (7),-20 to 0,TRUE
1778,15765,13865,SW 17 AV@SW 16 ST,C17V#162,46,MI_FRG,6,7250     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7250,5,7,0,0,10,5,5,-80.222189,25.758139,1060,17,1,1,10,SW 17 AV SW 16 ST, 6 , 8 , 14 , 26 , (80), 17-SW 17 AV SW 16 ST , 17 , 0 , (8),-20 to 0,TRUE
